Item Name,Price
Apple green,40
Apple mangoes,150
Apple red,35
Arrowroots,175
Asparagus,450
Avocados,50
Baby marrow,120
Banana kampala matoke,1300
Banana sweet,850
Basil,45
Beans sprout,250
Beetroot,100
Black grapes,420
Black passion,250
Boq choy,150
Broccoli,180
Cabbage white,40
Carrots,80
Cauliflower,200
Celery,200
Cherry tomatoes,200
Chinese cabbage,110
Chives,40
Cucumber local,110
Dhania,10
Dill,30
Dry beans,105
Dry maize,200
Dudhi,120
Egg plant,120
Fennel,200
French beans,110
Garden peas,260
Garlic,520
Ginger,350
Grape imported,450
Green chilli,200
Green pepper,100
Italian spinach,250
Kahurura,40
Karera,150
Kiwi fruit,120
Leeks,115
Lemon grass,40
Lemon rough,180
Lemons smooth,180
Lettuce hard,55
Lettuce soft,45
Managu,45
Mangoe lamu,120
Methi,30
Mint,40
Mountain pawpaw,200
Mushroom,300
Okra,200
Onion red,85
Orange jaffa,320
Orange local,120
Parsley ,40
Pawpaw local,170
Peeled maize,200
Pineapple,75
Potatoes not selected,75
Potatoes selected,95
Pumkin,100
Red cabbage,110
Red pepper,220
Rosemary,30
Ruburb,140
Snowpeas,95
Spinach,45
Strawberry,200
Sugar snaps,100
Sugarcane,100
Sukumawiki,40
Sweet lemon,160
Sweet potatoes,120
Terere,50
Tomatoes,85
Tree tomatoes,250
Turia,150
Turnip,120
Water melon,60
White onion,120
Yellow passion,250
Yellow pepper,230
