Receipt Number,Date,Company,Grand Total
7,01/02/2025 12:47,MAA Restaurant,30800.0
8,01/02/2025 12:53,MAA Restaurant,49050.0
14,01/02/2025 19:43,MAA Restaurant,20250.0
15,01/02/2025 20:03,St. Hannah's Girls School,17982.0
16,01/02/2025 20:13,St. Hannah's Girls School,133320.0
19,01/02/2025 20:45,MAA Restaurant,24850.0
20,01/02/2025 22:00,MAA Restaurant,22500.0
21,01/02/2025 22:00,MAA Restaurant,22500.0
22,03/02/2025 11:30,MAA Restaurant,31200.0
23,03/02/2025 11:30,MAA Restaurant,31200.0
24,03/02/2025 12:00,33300,
27,03/02/2025 12:11,MAA Restaurant,19000.0
28,11/02/2025 12:29,MAA Restaurant,32850.0
29,11/02/2025 12:59,The Base Restaurant,69200.0
30,11/02/2025 13:08,The Base Restaurant,76570.0
31,11/02/2025 13:15,The Base Restaurant,62905.0
32,11/02/2025 13:24,The Base Restaurant,54145.0
33,17/02/2025 13:55,St. Hannah's Girls School,2990.0
34,27/02/2025 13:29,St. Hannah's Girls School,11880.0
35,27/02/2025 14:15,St. Hannah's Girls School,13450.0
38,15/05/2025 12:32,MAA Restaurant,157410.0
39,15/05/2025 12:33,The Base Restaurant,11090.0
40,2025-05-15 15:47:53,MAA Restaurant,19060.0
